Item,WeaponMesh,ScabbardMesh
ITM_Weapon_SwordGreatEpic11a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_40/L_Sword_NPC_40,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_40/L_Sword_NPC_40_Scabbard
ITM_Weapon_SwordGreatEpic12a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_43/L_Sword_NPC_43,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_43/L_Sword_NPC_43_Scabbard
ITM_Weapon_SwordGreatEpic13a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_45/L_Sword_NPC_45,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_45/L_Sword_NPC_45_Scabbard
ITM_Weapon_SwordGreatEpic14a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_47/L_Sword_NPC_47,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_47/L_Sword_NPC_47_Scabbard
ITM_Weapon_SwordGreatEpic15a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_48/L_Sword_NPC_48,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_48/L_Sword_NPC_48_Scabbard
ITM_Weapon_SwordGreatEpic16a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_49/L_Sword_NPC_49,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_49/L_Sword_NPC_49_Scabbard
ITM_Weapon_SwordGreatEpic17a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_50/L_Sword_NPC_50,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_50/L_Sword_NPC_50_Scabbard
ITM_Weapon_SwordGreatEpic1a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_08/L_Sword_NPC_08,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_08/L_Sword_NPC_08_Scabbard
ITM_Weapon_SwordGreatEpic2a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_12/L_Sword_NPC_12,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_12/L_Sword_NPC_12_Scabbard
ITM_Weapon_SwordGreatEpic3a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_16/L_Sword_NPC_16,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_16/L_Sword_NPC_16_Scabbard
ITM_Weapon_SwordGreatEpic4a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_19/L_Sword_NPC_19,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_19/L_Sword_NPC_19_Scabbard
ITM_Weapon_SwordGreatEpic5a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_22/L_Sword_NPC_22,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_22/L_Sword_NPC_22_Scabbard
ITM_Weapon_SwordGreatEpic6a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_25/L_Sword_NPC_25,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_25/L_Sword_NPC_25_Scabbard
ITM_Weapon_SwordGreatEpic7a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_28/L_Sword_NPC_28,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_28/L_Sword_NPC_28_Scabbard
ITM_Weapon_SwordGreatEpic8a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_31/L_Sword_NPC_31,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_31/L_Sword_NPC_31_Scabbard
ITM_Weapon_SwordGreatEpic9a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_34/L_Sword_NPC_34,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_34/L_Sword_NPC_34_Scabbard
ITM_Weapon_SwordGreatMaster10a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_36/L_Sword_NPC_36,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_36/L_Sword_NPC_36_Scabbard
ITM_Weapon_SwordGreatMaster11a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_39/L_Sword_NPC_39,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_39/L_Sword_NPC_39_Scabbard
ITM_Weapon_SwordGreatMaster12a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_42/L_Sword_NPC_42,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_42/L_Sword_NPC_42_Scabbard
ITM_Weapon_SwordGreatMaster13a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_44/L_Sword_NPC_44,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_44/L_Sword_NPC_44_Scabbard
ITM_Weapon_SwordGreatMaster14a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_46/L_Sword_NPC_46,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_46/L_Sword_NPC_46_Scabbard
ITM_Weapon_SwordGreatMaster1a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_07/L_Sword_NPC_07,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_07/L_Sword_NPC_07_Scabbard
ITM_Weapon_SwordGreatMaster2a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_11/L_Sword_NPC_11,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_11/L_Sword_NPC_11_Scabbard
ITM_Weapon_SwordGreatMaster3a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_15/L_Sword_NPC_15,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_15/L_Sword_NPC_15_Scabbard
ITM_Weapon_SwordGreatMaster4a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_18/L_Sword_NPC_18,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_18/L_Sword_NPC_18_Scabbard
ITM_Weapon_SwordGreatMaster5a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_21/L_Sword_NPC_21,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_21/L_Sword_NPC_21_Scabbard
ITM_Weapon_SwordGreatMaster6a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_24/L_Sword_NPC_24,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_24/L_Sword_NPC_24_Scabbard
ITM_Weapon_SwordGreatMaster6aDemoOnly,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_24/L_Sword_NPC_24,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_24/L_Sword_NPC_24_Scabbard
ITM_Weapon_SwordGreatMaster7a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_27/L_Sword_NPC_27,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_27/L_Sword_NPC_27_Scabbard
ITM_Weapon_SwordGreatMaster8a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_30/L_Sword_NPC_30,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_30/L_Sword_NPC_30_Scabbard
ITM_Weapon_SwordGreatMaster9a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_33/L_Sword_NPC_33,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_33/L_Sword_NPC_33_Scabbard
ITM_Weapon_SwordGreatSuperior10a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_35/L_Sword_NPC_35,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_35/L_Sword_NPC_35_Scabbard
ITM_Weapon_SwordGreatSuperior11a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_38/L_Sword_NPC_38,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_38/L_Sword_NPC_38_Scabbard
ITM_Weapon_SwordGreatSuperior12a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_41/L_Sword_NPC_41,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_41/L_Sword_NPC_41_Scabbard
ITM_Weapon_SwordGreatSuperior1a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_06/L_Sword_NPC_06,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_06/L_Sword_NPC_06_Scabbard
ITM_Weapon_SwordGreatSuperior2a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_10/L_Sword_NPC_10,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_10/L_Sword_NPC_10_Scabbard
ITM_Weapon_SwordGreatSuperior3a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_14/L_Sword_NPC_14,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_14/L_Sword_NPC_14_Scabbard
ITM_Weapon_SwordGreatSuperior4a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_17/L_Sword_NPC_17,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_17/L_Sword_NPC_17_Scabbard
ITM_Weapon_SwordGreatSuperior5a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_20/L_Sword_NPC_20,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_20/L_Sword_NPC_20_Scabbard
ITM_Weapon_SwordGreatSuperior6a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_23/L_Sword_NPC_23,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_23/L_Sword_NPC_23_Scabbard
ITM_Weapon_SwordGreatSuperior7a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_26/L_Sword_NPC_26,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_26/L_Sword_NPC_26_Scabbard
ITM_Weapon_SwordGreatSuperior8a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_29/L_Sword_NPC_29,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_29/L_Sword_NPC_29_Scabbard
ITM_Weapon_SwordGreatSuperior9a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_32/L_Sword_NPC_32,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_32/L_Sword_NPC_32_Scabbard
ITM_Weapon_SwordHeavyBanditEpic1a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_32/L_Sword_NPC_32,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_32/L_Sword_NPC_32_Scabbard
ITM_Weapon_SwordHeavyBanditMaster2a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_29/L_Sword_NPC_29,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_29/L_Sword_NPC_29_Scabbard
ITM_Weapon_SwordHeavyBanditSuperior2a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_05/L_Sword_NPC_05,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_05/L_Sword_NPC_05_Scabbard
ITM_Weapon_SwordHeavySoldierEpic1a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_35/L_Sword_NPC_35,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_35/L_Sword_NPC_35_Scabbard
ITM_Weapon_SwordHeavySoldierMaster2a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_09/L_Sword_NPC_09,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_09/L_Sword_NPC_09_Scabbard
ITM_Weapon_SwordHeavySoldierSuperior2a,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_20/L_Sword_NPC_20,/Game/_Dawnwalker/Characters/Swords/L_Sword_NPC_20/L_Sword_NPC_20_Scabbard
ITM_Weapon_SwordLongCommon1,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_07/M_Sword_NPC_07,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_07/M_Sword_NPC_07_Scabbard
ITM_Weapon_SwordLongCommon1b,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_07/M_Sword_NPC_07,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_07/M_Sword_NPC_07_Scabbard
ITM_Weapon_SwordLongCommon2,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06_Scabbard
ITM_Weapon_SwordLongCommon2DemoOnly,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_06/M_Sword_NPC_06_Scabbard
ITM_Weapon_SwordLongCommon2b,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_05/M_Sword_NPC_05,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_05/M_Sword_NPC_05_Scabbard
ITM_Weapon_SwordLongEpic10a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_36/M_Sword_NPC_36,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_36/M_Sword_NPC_36_Scabbard
ITM_Weapon_SwordLongEpic11a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_38/M_Sword_NPC_38,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_38/M_Sword_NPC_38_Scabbard
ITM_Weapon_SwordLongEpic12a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_40/M_Sword_NPC_40,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_40/M_Sword_NPC_40_Scabbard
ITM_Weapon_SwordLongEpic13a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_42/M_Sword_NPC_42,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_42/M_Sword_NPC_42_Scabbard
ITM_Weapon_SwordLongEpic1a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_10/M_Sword_NPC_10,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_10/M_Sword_NPC_10_Scabbard
ITM_Weapon_SwordLongEpic2a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_13/M_Sword_NPC_13,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_13/M_Sword_NPC_13_Scabbard
ITM_Weapon_SwordLongEpic3a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_16/M_Sword_NPC_16,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_16/M_Sword_NPC_16_Scabbard
ITM_Weapon_SwordLongEpic4a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_19/M_Sword_NPC_19,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_19/M_Sword_NPC_19_Scabbard
ITM_Weapon_SwordLongEpic5a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_22/M_Sword_NPC_22,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_22/M_Sword_NPC_22_Scabbard
ITM_Weapon_SwordLongEpic6a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_25/M_Sword_NPC_25,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_25/M_Sword_NPC_25_Scabbard
ITM_Weapon_SwordLongEpic7a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_28/M_Sword_NPC_28,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_28/M_Sword_NPC_28_Scabbard
ITM_Weapon_SwordLongEpic8a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_31/M_Sword_NPC_31,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_31/M_Sword_NPC_31_Scabbard
ITM_Weapon_SwordLongEpic9a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_34/M_Sword_NPC_34,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_34/M_Sword_NPC_34_Scabbard
ITM_Weapon_SwordLongMaster10a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_35/M_Sword_NPC_35,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_35/M_Sword_NPC_35_Scabbard
ITM_Weapon_SwordLongMaster11a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_37/M_Sword_NPC_37,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_37/M_Sword_NPC_37_Scabbard
ITM_Weapon_SwordLongMaster12a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_39/M_Sword_NPC_39,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_39/M_Sword_NPC_39_Scabbard
ITM_Weapon_SwordLongMaster13a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_41/M_Sword_NPC_41,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_41/M_Sword_NPC_41_Scabbard
ITM_Weapon_SwordLongMaster14a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_43/M_Sword_NPC_43,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_43/M_Sword_NPC_43_Scabbard
ITM_Weapon_SwordLongMaster1a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_09/M_Sword_NPC_09,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_09/M_Sword_NPC_09_Scabbard
ITM_Weapon_SwordLongMaster2a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_12/M_Sword_NPC_12,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_12/M_Sword_NPC_12_Scabbard
ITM_Weapon_SwordLongMaster3a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_15/M_Sword_NPC_15,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_15/M_Sword_NPC_15_Scabbard
ITM_Weapon_SwordLongMaster4a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_18/M_Sword_NPC_18,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_18/M_Sword_NPC_18_Scabbard
ITM_Weapon_SwordLongMaster5a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_21/M_Sword_NPC_21,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_21/M_Sword_NPC_21_Scabbard
ITM_Weapon_SwordLongMaster6a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_24/M_Sword_NPC_24,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_24/M_Sword_NPC_24_Scabbard
ITM_Weapon_SwordLongMaster7a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_27/M_Sword_NPC_27,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_27/M_Sword_NPC_27_Scabbard
ITM_Weapon_SwordLongMaster8a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_30/M_Sword_NPC_30,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_30/M_Sword_NPC_30_Scabbard
ITM_Weapon_SwordLongMaster9a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_33/M_Sword_NPC_33,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_33/M_Sword_NPC_33_Scabbard
ITM_Weapon_SwordLongSuperior1a,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_08/M_Sword_NPC_08,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_08/M_Sword_NPC_08_Scabbard
ITM_Weapon_SwordLongSuperior2,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_11/M_Sword_NPC_11,/Game/_Dawnwalker/Characters/Swords/M_Sword_NPC_11/M_Sword_NPC_11_Scabbard
